variable ID,name,Measure ID,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5,Concept 6,Concept 7,Concept 8,Concept 9,Concept 10
ID114,Employed – total; Persons,MonashBS_MIDf01hist,Macroeconomic,,,,,,,,,
ID115,Private dwelling approvals,MonashBS_MIDf01dhist,Macroeconomic,,,,,,,,,
ID116,"Index of commodity prices; All items; AUD, Index, 2013/14=100 ",MonashBS_MIDf02histhist,Macroeconomic,,,,,,,,,
ID117,Exports of goods and services ,MonashBS_MIDf02histhist,Macroeconomic,,,,,,,,,
ID118,Imports of goods and services ,MonashBS_MIDf02hist,Macroeconomic,,,,,,,,,
ID119,Terms of Trade; Index,MonashBS_MIDd03hist,Macroeconomic,,,,,,,,,
ID120,M1,MonashBS_MIDd03hist,Macroeconomic,,,,,,,,,
ID121,Credit; Total ,MonashBS_MIDd03hist,Macroeconomic,,,,,,,,,
ID122,S& P ASX AllOrds adjusted closing prices ,MonashBS_MIDd03hist,Macroeconomic,,,,,,,,,
ID123,Household Final Consumption Expenditure: Chain volume measures ,MonashBS_MIDd03hist,Macroeconomic,,,,,,,,,
ID124,Unemployment rate; Persons,MonashBS_MIDd02hist,Macroeconomic,,,,,,,,,
ID125,Average non-farm compensation per employee: Current prices,MonashBS_MIDd02hist,Macroeconomic,,,,,,,,,
ID126,10 yrs Australian Government ,MonashBS_MIDd02hist,Macroeconomic,,,,,,,,,
ID127,M3,MonashBS_MIDd02hist,Macroeconomic,,,,,,,,,
ID128,Broad money,MonashBS_MIDd02hist,Macroeconomic,,,,,,,,,
ID129,Money base,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID130,Credit; Other personal,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID131,Credit; Business,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID132,Australian Dollar Trade-weighted Index ,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID133,General government; Final consumption expenditure ,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID134,Domestic sales: Current prices,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID135,Retail sales; All industries; Current price,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID136,Labour Force; Persons ,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID137,Aggregate Monthly Hours Worked; Persons,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID138,Total excluding refinancing of established dwellings – No. ,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID139,Total excluding refinancing of established dwellings – Value ,MonashBS_MIDf11hist,Macroeconomic,,,,,,,,,
ID140,Total (State); Number of Commitments,MonashBS_MIDYahoo Finance,Macroeconomic,,,,,,,,,
ID141,Private non-farm inventory levels; book values; Current prices ,MonashBS_MIDA2295645R,Macroeconomic,,,,,,,,,
ID142,Inventories to total sales; Ratio,MonashBS_MIDA2295654T,Macroeconomic,,,,,,,,,
ID143,Real export-weighted index; Original,MonashBS_MIDA2295651K,Macroeconomic,,,,,,,,,
ID144,Real import-weighted index; Original,MonashBS_MIDA2295612V,Macroeconomic,,,,,,,,,
ID145,Real household disposable income,MonashBS_MIDA2295615A,Macroeconomic,,,,,,,,,
ID146,90 days Bank accepted bills,MonashBS_MIDA2295618J,Macroeconomic,,,,,,,,,
ID147,5 yrs Australian Government,MonashBS_MIDA2295621W,Macroeconomic,,,,,,,,,
ID148,10 yrs NSW Treasury Corporation,MonashBS_MIDA2295627K,Macroeconomic,,,,,,,,,
ID149,Currency: Seasonally adjusted,MonashBS_MIDA2295630X,Macroeconomic,,,,,,,,,
ID150,Narrow credit including loans and advances by AFIs plus Bills on issue,MonashBS_MIDA2295633F,Macroeconomic,,,,,,,,,
ID151,Loans and advances; Banks ,MonashBS_MIDA2295636L,Macroeconomic,,,,,,,,,
,,,Macroeconomic,,,,,,,,,
